title,description,url,folder,tags,created,cover,highlights
DataStation Desktop CE,,https://app.datastation.multiprocess.io/?expanded=%2COXYdUIvHGncJ%2CszFGdZLI8QaD&fullScreen=&page=0&panelOut=%7B%7D&panelOutExpanded=&projectId=Example+project&sidebar=true&view=editor,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Database,database,"October 28, 2022 1:59 AM (UTC)",,
Online Tool to Extract Links from any Web Page | HackerTarget.com,Use this online tool to extract links from any web page or html. Simply enter web site and receive a table of links that are extracted from the target page.,https://hackertarget.com/extract-links,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML,"html, tools","February 28, 2022 2:50 AM (UTC)",,
HTML Link Extractor To Scrape URL From Web Page Web Tools,Fromdev Tools Website,https://tools.fromdev.com/html-link-extractor.html,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML,"html, tools","February 28, 2022 2:51 AM (UTC)",,
Extract hyperlinks in from an URL or an HTML source code,This tool can extract hypertext links from an HTML page source.,https://online-free-tools.com/en/extract_url_from_web_page_source,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML,"html, tools","February 28, 2022 2:54 AM (UTC)",,
Extract Links from HTML - Free Tool from Buzzstream,,http://tools.buzzstream.com/link-building-extract-urls,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML,"html, tools","February 28, 2022 2:54 AM (UTC)",,
Extract URLs,URL extractor for web pages and text,https://www.convertcsv.com/url-extractor.htm,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML,"html, tools","February 28, 2022 3:01 AM (UTC)",,
HTML minifier,,https://kangax.github.io/html-minifier,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML,"html, tools","March 12, 2022 9:58 PM (UTC)",,
Convert CSV to Bookmarks HTML,"Raindrop.io only support Netscape HTML import files. This tool let you convert CSV files to required format.

Just upload import file here and after a moment you will get a bookmarks html file.",https://csv-to-bookmarks.glitch.me,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML,"html, tools","March 25, 2022 7:53 PM (UTC)",,
DocToolHub,DocToolHub is a curated directory of 600+ tools and resources for technical documentation. All in one place.,https://doctoolhub.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML,"html, tools","September 25, 2022 5:05 AM (UTC)",https://doctoolhub.com/wp-content/themes/chipmunk-theme/static/dist/images/chipmunk-og.png,
Building a Vertical Timeline With CSS and a Touch of JavaScript,"Let’s learn how to build a responsive vertical timeline from scratch. First, we’ll create the basic structure, then, we’ll use some JavaScript to add some transitional effects to our timeline.",https://webdesign.tutsplus.com/tutorials/building-a-vertical-timeline-with-css-and-a-touch-of-javascript--cms-26528,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","January 29, 2022 10:35 PM (UTC)",https://cms-assets.tutsplus.com/uploads/users/30/posts/26528/preview_image/timeline-pre.png,
Vertical Timeline in CSS and JavaScript,"Today's resource is an easy to customize, responsive timeline. We used some CSS3 tricks and a bit of JavaScript to create some bounce animations that affect desktop users only, while on mobile the structure is more minimal.",https://codyhouse.co/gem/vertical-timeline,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","January 29, 2022 10:36 PM (UTC)",https://codyhouse.co/assets/img/gems/hero-sharing/vertical-timeline-featured.png,
A react component to display event in a vertical timeline format,A react component to display event in a vertical timeline format. This is based on the timeline found in AdminLte.,https://reactjsexample.com/a-react-component-to-display-event-in-a-vertical-timeline-format,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","January 29, 2022 10:49 PM (UTC)",https://reactjsexample.com/content/images/2018/04/react-time-line.png,
CSS Grid Generator,,https://cssgrid-generator.netlify.app,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 12, 2022 5:35 AM (UTC)",https://s3-us-west-2.amazonaws.com/s.cdpn.io/28963/og-cssgrid.jpg,
CSSO – CSS optimizer,,https://css.github.io/csso/csso.html,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 12, 2022 5:35 AM (UTC)",,
FAST,The adaptive interface system for modern web experiences.,https://www.fast.design,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 12, 2022 8:08 PM (UTC)",https://static.fast.design/assets/fast-logo.png,
JSFiddle - Code Playground,"Test your JavaScript, CSS, HTML or CoffeeScript online with JSFiddle code editor.",https://jsfiddle.net,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 12, 2022 9:45 PM (UTC)",,
Magic of CSS — Adam Schwartz,Magic of CSS — Adam Schwartz,https://adamschwartz.co/magic-of-css,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 15, 2022 6:06 PM (UTC)",,
Clippy — CSS clip-path maker,Clippy — CSS clip-path maker,https://bennettfeely.com/clippy,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 15, 2022 6:27 PM (UTC)",,
Portal Home - Cywir,,https://cywir.tv,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 15, 2022 6:29 PM (UTC)",,
"pingo, image optimizer for web",,https://css-ig.net/pingo,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 15, 2022 6:29 PM (UTC)",,
"HTML, CSS, and JavaScript Tutorials, References, and Articles | HTML Dog","HTML, CSS, and JavaScript Tutorials, References, and Articles | HTML Dog",https://www.htmldog.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 17, 2022 10:13 PM (UTC)",,
HTML Notepad – HTML WYSIWYG editor for the rest of us,HTML Notepad,https://html-notepad.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 17, 2022 10:16 PM (UTC)",,
HTML5 Sortable library,HTML5 Sortable library,https://lukasoppermann.github.io/html5sortable/index.html,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 17, 2022 10:39 PM (UTC)",,
Learn to Code HTML & CSS,Learn to Code HTML & CSS,https://learn.shayhowe.com/html-css,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 17, 2022 10:40 PM (UTC)",,
Amino: Live CSS Editor,Customize any website in seconds with CSS. Amino is a compact and powerful browser extension that allows you to customize any website with CSS that persists. Use the editor to create your own website themes and skins.,https://aminoeditor.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 18, 2022 12:35 AM (UTC)",,
Web Editing Software for Better Development and UX - Froala,Froala builds web editing software for fast development with better developer and user experience. Our HTML Editor is the building block for beautiful content.,https://froala.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 18, 2022 12:37 AM (UTC)",https://froala.com/wp-content/uploads/2022/08/MultiFeatureDemo3.gif,
Layoutit Grid — CSS Grids layouts made easy!,"Quickly design web layouts, and get HTML and CSS code. Learn CSS Grid visually and build web layouts with our interactive CSS Grid Generator.",https://grid.layoutit.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 18, 2022 12:46 AM (UTC)",https://raw.githubusercontent.com/Leniolabs/layoutit-grid/main/assets/layoutit-grid-showcase-v2.gif,
Web developer tools,Web developer tools,https://mothereff.in,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 18, 2022 12:52 AM (UTC)",,
"Can I use... Support tables for HTML5, CSS3, etc","""Can I use"" provides up-to-date browser support tables for support of front-end web technologies on desktop and mobile web browsers.",https://caniuse.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 11, 2022 2:24 PM (UTC)",,
HTML5 UP,Responsive HTML5 and CSS3 site templates designed by @ajlkn and released under the Creative Commons license.,https://html5up.net,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 24, 2022 11:58 AM (UTC)",https://html5up.net/assets/icons/card.jpg,
Web Editing Software for Better Development and UX - Froala,Froala's WYSIWYG Editor is a beautiful JavaScript web editor that's easy to integrate for developers and your users will fall in love with its clean design.,https://froala.com/wysiwyg-editor,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","March 18, 2022 12:37 AM (UTC)",https://froala.com/wp-content/uploads/2022/08/MultiFeatureDemo3.gif,
Terminal CSS,A modern and minimal CSS framework for terminal lovers.,https://terminalcss.xyz,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"dev, HTML, CSS","October 27, 2022 3:46 AM (UTC)",,
CSSBattle,CSS Code Golfing game is here!,https://cssbattle.dev,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"dev, HTML, CSS","October 27, 2022 3:53 AM (UTC)",https://cssbattle.dev/images/banner.png,
CSS Transform,CSS3 2D / 3D Transform Functions Visualizer and Playground,https://css-transform.moro.es,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"dev, HTML, CSS","October 27, 2022 3:58 AM (UTC)",https://cdn.jsdelivr.net/gh/alterebro/css-transform/media/css-transform.jpg,
zerodivs.com,Create CSS,https://zerodivs.com/#/,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"HTML, CSS","October 27, 2022 4:25 AM (UTC)",,
Style Stage,A modern CSS showcase styled by community contributions. Maintained by Stephanie Eckles (@5t3ph) of ModernCSS.dev.,https://stylestage.dev,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"dev, HTML, CSS","October 27, 2022 4:29 AM (UTC)",https://stylestage.dev/social-img/home/Style%20Stage/,
CSS Zen Garden: The Beauty of CSS Design,A demonstration of what can be accomplished visually through CSS-based design.,http://www.csszengarden.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"dev, HTML, CSS","October 27, 2022 4:48 AM (UTC)",,
Code Snippets | CSS-Tricks,"A collection of code snippets for web developers, including code for HTML, CSS, JavaScript, PHP, WordPress, jQuery, HTAccess, and more!",https://css-tricks.com/snippets,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / HTML & CSS,"dev, HTML, CSS","November 3, 2022 6:56 PM (UTC)",https://css-tricks.com/wp-json/social-image-generator/v1/image/3211,
JSCompress - The JavaScript Compression Tool,JSCompress is an online JavaScript compressor that allows you to compress and minify all of your JS files by up to 80% of their original size.,https://jscompress.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Java,"java, tools","March 12, 2022 9:45 PM (UTC)",,
Important JavaScript Loops You Need to Know | Edureka,There are different methods for executing JavaScript loops. Read here to understand the different looping methods in JavaScript with examples.,https://www.google.com/amp/s/www.edureka.co/blog/javascript-loops/amp,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Java,"java, tools","September 11, 2022 8:21 PM (UTC)",http://d1jnx9ba8s6j9r.cloudfront.net/blog/wp-content/uploads/2019/08/javascript-loops-2.jpg,
CodeSnippet.Run - JavaScript code snippet runner for Web,Run multiple JavaScript code snippets independently on a single page.,https://www.codesnippet.run/?ref=producthunt,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Javascript,javascript,"March 31, 2022 11:41 AM (UTC)",https://raw.githubusercontent.com/dutiyesh/codesnippet.run/main/public/preview.jpg,
JSONPlaceholder - Free Fake REST API,JSONPlaceholder - Free Fake REST API,https://jsonplaceholder.typicode.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / JSON,JSON,"March 12, 2022 9:45 PM (UTC)",,
